gene_id	cell_type
SCMH1	vGLUT_enriched
SCRIB	vGLUT_enriched
SERGEF	vGLUT_enriched
SETBP1	vGLUT_enriched
SETD3	vGLUT_enriched
SFMBT2	vGLUT_enriched
SGSM2	vGLUT_enriched
SLC25A34	vGLUT_enriched
SLC9A3R1	vGLUT_enriched
SMAD1	vGLUT_enriched
SMG1	vGLUT_enriched
SMOX	vGLUT_enriched
SMYD4	vGLUT_enriched
SNF8	vGLUT_enriched
SNRK	vGLUT_enriched
SNX29	vGLUT_enriched
SNX8	vGLUT_enriched
SPTBN2	vGLUT_enriched
ST5	vGLUT_enriched
STAG1	vGLUT_enriched
STARD10	vGLUT_enriched
STAU2	vGLUT_enriched
STK3	vGLUT_enriched
STK35	vGLUT_enriched
STK39	vGLUT_enriched
SYMPK	vGLUT_enriched
TASP1	vGLUT_enriched
TBC1D9B	vGLUT_enriched
TBCD	vGLUT_enriched
TBCEL	vGLUT_enriched
TNS3	vGLUT_enriched
TOMM40L	vGLUT_enriched
TRAK2	vGLUT_enriched
TRIM35	vGLUT_enriched
TRRAP	vGLUT_enriched
TSC22D3	vGLUT_enriched
TST	vGLUT_enriched
TTC7B	vGLUT_enriched
TTLL5	vGLUT_enriched
TTN	vGLUT_enriched
TUB	vGLUT_enriched
UBE2M	vGLUT_enriched
UBE3B	vGLUT_enriched
UBN2	vGLUT_enriched
UBR4	vGLUT_enriched
UCK2	vGLUT_enriched
UEVLD	vGLUT_enriched
UIMC1	vGLUT_enriched
ULK4	vGLUT_enriched
UNC119B	vGLUT_enriched
UNC13B	vGLUT_enriched
UNC79	vGLUT_enriched
UNC80	vGLUT_enriched
VHL	vGLUT_enriched
VIM	vGLUT_enriched
VPS13D	vGLUT_enriched
VWA5B2	vGLUT_enriched
WDPCP	vGLUT_enriched
WDR13	vGLUT_enriched
WDR6	vGLUT_enriched
WHSC1	vGLUT_enriched
WSB2	vGLUT_enriched
WWC1	vGLUT_enriched
XPNPEP1	vGLUT_enriched
YEATS2	vGLUT_enriched
ZFAT	vGLUT_enriched
ZNF148	vGLUT_enriched
ZNF236	vGLUT_enriched
ZNF609	vGLUT_enriched
ZNF827	vGLUT_enriched
ZFX	vGLUT_enriched
ZNRF2	vGLUT_enriched
ARHGDIG	vGLUT_enriched
GLCCI1	vGLUT_enriched
GPX4	vGLUT_enriched
METRN	vGLUT_enriched
PDE2A	vGLUT_enriched
PLXNB1	vGLUT_enriched
RSPRY1	vGLUT_enriched
SDC4	vGLUT_enriched
BCL2L2	vGLUT_enriched
COX4I1	vGLUT_enriched
COX7A2L	vGLUT_enriched
COX8A	vGLUT_enriched
CTXN1	vGLUT_enriched
FAM163A	vGLUT_enriched
FIS1	vGLUT_enriched
FNDC3B	vGLUT_enriched
NDST3	vGLUT_enriched
OMA1	vGLUT_enriched
SERP2	vGLUT_enriched
SLC25A18	vGLUT_enriched
SMIM20	vGLUT_enriched
STX6	vGLUT_enriched
TMEM132D	vGLUT_enriched
USE1	vGLUT_enriched
C9orf3	vGLUT_enriched
C1orf198	vGLUT_enriched
KIAA0930	vGLUT_enriched
ABCA8	vGLUT_enriched
ADRBK1	vGLUT_enriched
ADRBK2	vGLUT_enriched
BZRAP1	vGLUT_enriched
FAM175A	vGLUT_enriched
FAM213B	vGLUT_enriched
GCN1L1	vGLUT_enriched
C4orf50	vGLUT_enriched
HECTD4	vGLUT_enriched
HMGXB3	vGLUT_enriched
HUWE1	vGLUT_enriched
SEPW1	vGLUT_enriched
TSSC1	vGLUT_enriched
UBE3D	vGLUT_enriched
ABCA5	vGLUT_depleted
ABHD16A	vGLUT_depleted
AGPAT1	vGLUT_depleted
AGPAT4	vGLUT_depleted
AIG1	vGLUT_depleted
ANO3	vGLUT_depleted
APLP2	vGLUT_depleted
ARL6IP1	vGLUT_depleted
ARL6IP5	vGLUT_depleted
ATL1	vGLUT_depleted
ATP1A1	vGLUT_depleted
ATP2B1	vGLUT_depleted
ATP6AP1	vGLUT_depleted
ATP6V0A1	vGLUT_depleted
ATP6V0B	vGLUT_depleted
ATP6V0C	vGLUT_depleted
ATP6V0E2	vGLUT_depleted
BCAP29	vGLUT_depleted
BCAP31	vGLUT_depleted
BSCL2	vGLUT_depleted
CACNG2	vGLUT_depleted
CACNG3	vGLUT_depleted
CASD1	vGLUT_depleted
CD47	vGLUT_depleted
CD9	vGLUT_depleted
CDIPT	vGLUT_depleted
CERS2	vGLUT_depleted
CHRM1	vGLUT_depleted
CHRM4	vGLUT_depleted
CLDN11	vGLUT_depleted
CLPTM1	vGLUT_depleted
CLPTM1L	vGLUT_depleted
CLSTN1	vGLUT_depleted
CNEP1R1	vGLUT_depleted
CNIH1	vGLUT_depleted
CX3CL1	vGLUT_depleted
DDOST	vGLUT_depleted
DEGS1	vGLUT_depleted
DPY19L3	vGLUT_depleted
ELOVL4	vGLUT_depleted
ELOVL6	vGLUT_depleted
EMC3	vGLUT_depleted
ENDOD1	vGLUT_depleted
ERGIC1	vGLUT_depleted
ERGIC3	vGLUT_depleted
FA2H	vGLUT_depleted
FAIM2	vGLUT_depleted
FAM171A2	vGLUT_depleted
G6PC3	vGLUT_depleted
GABRA1	vGLUT_depleted
GABRA2	vGLUT_depleted
GABRA3	vGLUT_depleted
GABRA4	vGLUT_depleted
GABRA5	vGLUT_depleted
GABRB2	vGLUT_depleted
GABRB3	vGLUT_depleted
GABRD	vGLUT_depleted
GABRG2	vGLUT_depleted
GDPD1	vGLUT_depleted
GJC3	vGLUT_depleted
GLRA2	vGLUT_depleted
GLRB	vGLUT_depleted
GPAA1	vGLUT_depleted
GPR137C	vGLUT_depleted
GPR155	vGLUT_depleted
GPR158	vGLUT_depleted
GPR22	vGLUT_depleted
GPR75	vGLUT_depleted
GPR88	vGLUT_depleted
GRIA2	vGLUT_depleted
GRIA3	vGLUT_depleted
GRIA4	vGLUT_depleted
GRIN1	vGLUT_depleted
GRINA	vGLUT_depleted
HCN1	vGLUT_depleted
HRH3	vGLUT_depleted
HTR2C	vGLUT_depleted
ITFG1	vGLUT_depleted
JKAMP	vGLUT_depleted
KCNC3	vGLUT_depleted
KCND2	vGLUT_depleted
KCNJ9	vGLUT_depleted
KCNK1	vGLUT_depleted
KCNQ5	vGLUT_depleted
KCNV1	vGLUT_depleted
KIT	vGLUT_depleted
KRTCAP2	vGLUT_depleted
LAPTM4A	vGLUT_depleted
LAPTM4B	vGLUT_depleted
LAPTM5	vGLUT_depleted
LEPROT	vGLUT_depleted
LEPROTL1	vGLUT_depleted
LHFPL4	vGLUT_depleted
LMBRD1	vGLUT_depleted
LMBRD2	vGLUT_depleted
KIAA1715	vGLUT_depleted
LRRC4	vGLUT_depleted
LRRC4C	vGLUT_depleted
LRRC8C	vGLUT_depleted
LRRTM4	vGLUT_depleted
MAL	vGLUT_depleted
